Date,Open,High,Low,Close,Adj Close,Volume
2018-03-05,105.559998,105.983002,105.348999,105.556000,105.556000,0
2018-03-06,106.276001,106.453003,105.852997,106.250000,106.250000,0
2018-03-07,105.613998,106.180000,105.511002,105.537003,105.537003,0
2018-03-08,106.168999,106.253998,105.898003,106.185997,106.185997,0
2018-03-09,106.403000,107.028999,106.359001,106.405998,106.405998,0
2018-03-12,106.886002,106.966003,106.374001,106.890999,106.890999,0
2018-03-13,106.318001,107.275002,106.263000,106.260002,106.260002,0
2018-03-14,106.549004,106.734001,106.084000,106.508003,106.508003,0
2018-03-15,106.153999,106.171997,105.790001,106.154999,106.154999,0
2018-03-16,106.328003,106.328003,105.607002,106.308998,106.308998,0
2018-03-19,105.968002,106.297997,105.681000,105.969002,105.969002,0
2018-03-20,106.038002,106.583000,105.984001,105.996002,105.996002,0
2018-03-21,106.480003,106.512001,106.139000,106.469002,106.469002,0
2018-03-22,105.917000,105.960999,105.282997,105.929001,105.929001,0
2018-03-23,104.978996,105.278999,104.667000,104.968002,104.968002,0
2018-03-26,104.839996,105.244003,104.736000,104.859001,104.859001,0
2018-03-27,105.545998,105.888000,105.459000,105.500000,105.500000,0
2018-03-28,105.522003,106.323997,105.431000,105.492996,105.492996,0
2018-03-29,106.799004,106.926003,106.259499,106.811996,106.811996,0
2018-03-30,106.473999,106.503998,106.115997,106.478996,106.478996,0
2018-04-02,106.318001,106.445999,105.961998,106.311996,106.311996,0
2018-04-03,105.805000,106.589996,105.695000,105.799004,105.799004,0
2018-04-04,106.429001,106.680000,105.995003,106.435997,106.435997,0
2018-04-05,106.783997,107.481003,106.716003,106.774002,106.774002,0
2018-04-06,107.081001,107.454002,106.969002,107.052002,107.052002,0
2018-04-09,106.949997,107.198997,106.852997,106.968002,106.968002,0
2018-04-10,106.720001,107.392998,106.628998,106.749001,106.749001,0
2018-04-11,107.111000,107.149002,106.653999,107.112999,107.112999,0
2018-04-12,106.814003,107.412003,106.703003,106.829002,106.829002,0
2018-04-13,107.279999,107.774002,107.259003,107.222000,107.222000,0
2018-04-16,107.487999,107.504997,107.136002,107.498001,107.498001,0
2018-04-17,107.008003,107.195999,106.884003,107.045998,107.045998,0
2018-04-18,107.028000,107.377998,107.007004,107.015999,107.015999,0
2018-04-19,107.362000,107.511002,107.269997,107.346001,107.346001,0
2018-04-20,107.440002,107.848000,107.404999,107.431999,107.431999,0
2018-04-23,107.843002,108.629997,107.733002,107.869003,107.869003,0
2018-04-24,108.748001,109.188004,108.702003,108.761002,108.761002,0
2018-04-25,108.802002,109.374001,108.789001,108.803001,108.803001,0
2018-04-26,109.366997,109.447998,109.072998,109.363998,109.363998,0
2018-04-27,109.315002,109.532997,108.980003,109.300003,109.300003,0
2018-04-30,109.095001,109.439499,109.019997,109.098000,109.098000,0
2018-05-01,109.306000,109.787003,109.258003,109.322998,109.322998,0
2018-05-02,109.846001,109.998001,109.652000,109.872002,109.872002,0
2018-05-03,109.821999,109.844002,108.930000,109.827003,109.827003,0
